price,price_binned,price_log,host_months,host_is_superhost,host_listings_count,host_identity_verified,lat_long_interaction,accommodates,bathrooms,bedrooms_num_cap,beds_num_cap,amenities_count,has_free_parking,has_self_checkin,is_shared_bath,is_private_bath,distance_km_to_city,distance_km_to_airport,distance_km_to_yarra_ranges,room_type_Private room,room_type_Shared room,property_type_category_Hospitality,property_type_category_Rental Unit,property_type_category_Residential_misc,property_type_category_Unique,minimum_nights,maximum_nights,availability_30,availability_365,instant_bookable,listings_in_neighbourhood,number_of_reviews_ltm,listing_active_months,has_description,has_neighborhood_overview
150.0,"(139.0, 180.0]",5.0106352940962555,140,1,3.0,1,-5484.5710701607995,2,2.0,1.0,1.0,21,0,1,1,0,2.94954617714305,21.033025170502622,57.76300493948395,True,False,False,False,False,False,1,14,26,176,0,1851,1,106.90759753593429,1,1
113.0,"(102.0, 139.0]",4.727387818712341,140,0,2.0,1,-5478.0019460720005,2,1.0,1.0,1.0,47,1,1,0,0,5.7708550997216275,16.005848648220113,61.76513752304599,False,False,False,False,False,False,2,30,8,294,0,430,29,137.49486652977413,1,1
95.0,"(15.999, 102.0]",4.553876891600541,77,0,15.0,1,-5485.119236680301,2,1.0,1.0,1.0,29,1,1,0,0,2.604887748918548,21.72691215725701,56.11565249971724,False,False,False,True,False,False,3,1124,30,121,0,1851,18,135.22792607802876,1,1
220.0,"(180.0, 259.0]",5.393627546352362,148,1,1.0,1,-5478.25818802,5,1.0,3.0,4.0,16,1,0,0,0,6.616408297388324,19.795816460509396,50.73911098191303,False,False,False,False,False,False,7,1125,0,119,0,351,6,127.47433264887064,1,1
297.0,"(259.0, 1143.0]",5.6937321388027,140,1,1.0,1,-5479.9771069414855,4,2.0,2.0,2.0,59,1,1,0,0,2.423794393064313,18.926579260074675,54.34885815092381,False,False,False,False,True,False,3,200,14,89,0,1150,11,135.9835728952772,1,1
95.0,"(15.999, 102.0]",4.553876891600541,152,0,1.0,0,-5480.4416091132,1,1.0,1.0,1.0,12,1,0,1,0,8.247892414880473,18.03290397877898,64.39801676755305,True,False,False,False,False,False,2,30,30,365,0,231,3,17.642710472279262,1,1
104.0,"(102.0, 139.0]",4.6443908991413725,152,0,3.0,1,-5490.4964525524,1,1.0,1.0,1.0,26,1,0,1,0,7.254334964358468,26.482227967587313,52.044575341222625,True,False,False,False,False,False,1,1125,30,365,0,978,2,142.48870636550308,1,1
95.0,"(15.999, 102.0]",4.553876891600541,150,0,1.0,1,-5489.9436457828,4,1.0,2.0,2.0,25,1,0,0,0,6.2039706173325655,25.513617452611538,54.10872692504419,False,False,False,True,False,False,20,1125,6,187,0,1851,7,139.59753593429159,1,1
135.0,"(102.0, 139.0]",4.90527477843843,150,0,1.0,1,-5479.8368466384,2,1.0,1.0,1.0,14,1,0,0,1,1.7569053506925585,18.496994922534007,55.25650002167413,True,False,False,False,False,False,4,90,27,87,0,5913,6,144.42710472279262,1,0
89.0,"(15.999, 102.0]",4.48863636973214,169,1,3.0,1,-5464.1864252185005,6,0.0,1.0,2.0,23,1,1,1,0,13.773652846332427,5.953795732699183,64.99279532969332,True,False,False,False,False,False,1,365,30,365,1,295,2,134.2094455852156,1,0
89.0,"(15.999, 102.0]",4.48863636973214,169,1,3.0,1,-5464.071897687,6,1.5,1.0,2.0,37,1,0,0,0,13.85926019580969,5.871352588416467,65.04440197518134,True,False,False,False,False,False,1,365,29,364,0,295,4,103.81930184804928,1,0
122.0,"(102.0, 139.0]",4.804021044733257,148,1,1.0,1,-5488.9778779862,2,1.0,1.0,1.0,32,1,1,0,0,5.429053370351149,24.40848889981247,56.08623858133384,False,False,False,True,False,False,3,96,8,191,0,1851,36,138.41478439425052,1,1
255.0,"(180.0, 259.0]",5.541263545158426,140,1,2.0,1,-5480.994691469,5,1.5,2.0,4.0,34,1,0,0,0,1.698123592100393,19.435059993317743,54.65930480348287,False,False,False,False,False,False,2,1000,11,74,0,1150,35,126.91581108829568,1,1
60.0,"(15.999, 102.0]",4.0943445622221,140,0,2.0,1,-5509.5727195676,2,1.5,1.0,1.0,21,1,0,1,0,27.94556329307244,45.955441425623086,37.15422377716417,True,False,False,False,False,False,1,14,0,0,0,151,0,120.67351129363449,1,1
236.0,"(180.0, 259.0]",5.4638318050256105,139,1,7.0,1,-5502.1421560022,2,1.0,1.0,1.0,29,1,0,0,0,35.325808849720836,50.139069317426575,23.465342654292066,False,False,False,False,False,True,2,30,29,241,1,991,2,126.2258726899384,0,1
221.0,"(180.0, 259.0]",5.3981627015177525,144,1,6.0,1,-5482.020200212401,4,1.0,1.0,1.0,40,1,1,0,0,0.3737219618002029,19.685401823710194,55.93676573764062,False,False,False,True,False,False,4,365,21,104,0,5913,10,137.33059548254622,1,0
228.0,"(180.0, 259.0]",5.429345628954441,139,1,1.0,1,-5480.124300919099,6,2.0,2.0,2.0,50,1,1,0,0,52.59170576431528,60.48240338377093,12.081895570765425,False,False,False,False,False,False,1,1125,17,324,1,991,59,119.72073921971253,1,1
60.0,"(15.999, 102.0]",4.0943445622221,149,0,10.0,1,-5482.992981902,1,1.0,1.0,1.0,2,0,0,1,0,10.446912877999917,25.09517996587129,45.798220783375676,True,False,False,False,False,False,1,1125,4,4,0,442,13,56.18069815195072,1,1
1000.0,"(259.0, 1143.0]",6.907755278982137,148,0,1.0,1,-5488.2834689600995,2,1.0,1.0,1.0,20,1,0,0,0,4.880436281266636,24.092884815911525,55.26855783576248,False,False,False,True,False,False,2,1125,29,364,0,1851,0,25.527720739219713,1,1
511.0,"(259.0, 1143.0]",6.236369590203704,159,0,50.0,1,-5485.1258671860005,4,2.0,2.0,2.0,49,1,1,0,0,3.9575056992655515,21.30340256536264,58.70223867148131,False,False,False,True,False,False,1,1125,29,329,1,1851,0,83.81108829568788,1,1
66.0,"(15.999, 102.0]",4.189654742026425,148,1,2.0,1,-5484.8619971292,4,1.0,2.0,3.0,28,1,0,0,1,22.968283223912124,27.442233491827217,78.40445726275054,True,False,False,False,False,False,4,365,28,361,0,602,6,140.84599589322383,0,1
362.0,"(259.0, 1143.0]",5.8916442118257715,159,0,50.0,1,-5484.055900791601,6,2.0,3.0,3.0,51,1,1,0,0,4.103067404960926,22.267748129374397,52.22766418119793,False,False,False,False,False,False,1,1125,19,300,1,1150,4,104.83778234086242,1,1
480.0,"(259.0, 1143.0]",6.173786103901937,159,0,50.0,1,-5479.284574138837,4,1.0,2.0,2.0,40,0,1,0,0,4.44959460084813,19.347619214279156,52.52078346293433,False,False,False,False,False,False,1,1125,29,103,1,1150,1,107.30184804928132,1,1
80.0,"(15.999, 102.0]",4.382026634673881,186,1,3.0,1,-5475.1428907084,2,1.5,1.0,1.0,33,1,0,0,0,12.039577595404001,21.462269507421535,46.704745450422635,True,False,False,False,True,False,10,365,30,365,0,174,3,138.71047227926078,1,1
312.0,"(259.0, 1143.0]",5.7430031878094825,143,0,53.0,1,-5485.254792084001,6,1.0,2.0,5.0,21,1,1,0,0,2.6774245182706484,21.93800127303902,55.61160497176156,False,False,False,True,False,False,21,365,30,265,0,1851,0,59.827515400410675,1,0
70.0,"(15.999, 102.0]",4.248495242049359,140,1,2.0,1,-5488.1387701875,1,1.0,1.0,1.0,36,1,0,1,0,5.1824672850211035,24.473161541506414,53.43998795442964,True,False,False,True,False,False,1,7,7,7,0,978,22,120.70636550308008,1,1
224.0,"(180.0, 259.0]",5.4116460518550396,157,1,3.0,1,-5483.3874625755,2,1.0,1.0,1.0,51,1,1,0,0,6.470103196635538,23.033416573731458,49.7144143269566,False,False,False,False,False,False,5,31,24,105,0,442,9,134.63655030800822,1,1
50.0,"(15.999, 102.0]",3.912023005428146,153,1,25.0,1,-5469.471430627201,4,1.5,1.0,1.0,40,1,1,0,0,18.42747181957128,14.71926080937911,73.98798142059522,True,False,False,False,False,False,1,1125,30,304,1,295,17,128.45995893223818,1,1
175.0,"(139.0, 180.0]",5.1647859739235145,152,0,2.0,1,-5482.471347936001,2,1.0,1.0,1.0,33,1,1,0,0,2.0833650201796017,20.558103420992822,54.11664058341772,False,False,False,True,False,False,7,366,30,90,0,5913,0,104.31211498973306,1,1
150.0,"(139.0, 180.0]",5.0106352940962555,146,0,1.0,1,-5487.9937245881,2,1.0,1.0,1.0,55,1,0,0,1,4.810952874769732,23.62253193873495,56.618976920211054,True,False,False,True,False,False,4,60,0,216,0,1851,7,129.741273100616,1,1
66.0,"(15.999, 102.0]",4.189654742026425,148,1,2.0,1,-5485.1044124714,2,1.0,1.0,1.0,22,1,0,0,1,23.064295451958344,27.62735789737259,78.46197011663213,True,False,False,False,False,False,4,365,29,362,0,602,9,145.31416837782342,0,0
90.0,"(15.999, 102.0]",4.499809670330265,148,1,1.0,1,-5492.624785886699,2,1.5,1.0,1.0,36,1,0,0,0,15.590600341430402,32.48464055532259,41.84583836287902,True,False,False,False,True,False,2,60,13,328,0,470,12,143.47433264887064,1,1
65.0,"(15.999, 102.0]",4.174387269895637,149,0,10.0,1,-5483.109763992,1,1.0,1.0,1.0,0,0,0,0,1,10.602998138933554,25.254086013572593,45.63515338108859,True,False,False,False,False,False,1,1125,18,353,0,442,1,60.58316221765914,1,0
60.0,"(15.999, 102.0]",4.0943445622221,149,0,10.0,1,-5483.061205488,1,1.0,1.0,1.0,1,0,0,1,0,10.481789854654702,25.152700437173582,45.758173194922634,True,False,False,False,False,False,1,1125,0,247,0,442,1,62.718685831622174,1,1
500.0,"(259.0, 1143.0]",6.214608098422191,146,0,2.0,1,-5489.4902910204,8,2.0,4.0,5.0,44,1,1,0,0,5.779043178524343,24.80889215737011,55.86688586632814,False,False,False,False,False,False,3,365,13,287,0,1851,19,131.05544147843943,1,1
595.0,"(259.0, 1143.0]",6.38856140554563,155,1,2.0,1,-5484.3630475488,8,3.5,4.0,6.0,78,1,1,0,0,2.2856354256950153,21.047664028575472,56.86586922875423,False,False,False,False,False,False,3,730,23,121,0,1851,27,113.05133470225873,1,1
110.0,"(102.0, 139.0]",4.700480365792417,136,0,1.0,1,-5478.575648883,2,1.0,1.0,1.0,5,1,0,0,0,4.584296194020832,18.851499517947,52.738487583732585,False,False,False,True,False,False,4,1125,30,361,0,351,0,4.402464065708419,0,0
145.0,"(139.0, 180.0]",4.976733742420574,138,0,1.0,1,-5480.001690018999,2,1.0,1.0,1.0,12,1,0,1,0,1.36629954597963,18.4505543935584,55.69272859473929,True,False,True,False,False,False,3,330,28,363,0,5913,4,126.6858316221766,0,0
160.0,"(139.0, 180.0]",5.075173815233827,139,0,3.0,1,-5489.6218448106,2,1.0,1.0,1.0,30,1,1,0,0,5.852142542938261,25.033871256624398,55.208566000769444,False,False,False,True,False,False,2,40,0,161,0,1851,0,85.65092402464066,1,1
194.0,"(180.0, 259.0]",5.267858159063328,151,1,3.0,1,-5481.3452583396,2,1.0,1.0,1.0,26,0,0,0,0,0.7474909646905477,19.372812536321064,55.5038520807773,False,False,False,True,False,False,3,1125,0,160,0,5913,6,130.0041067761807,0,1
95.0,"(15.999, 102.0]",4.553876891600541,137,0,1.0,1,-5497.919941877138,1,1.0,1.0,1.0,53,1,0,1,0,11.885607772683914,30.89671506863358,55.318327586258455,True,False,False,False,False,False,7,1125,27,362,0,298,0,103.19507186858316,1,1
85.0,"(15.999, 102.0]",4.442651256490317,137,0,1.0,1,-5513.0604030015,2,1.0,1.0,1.0,38,1,1,0,0,23.345358718534506,42.64001677987097,51.84553141995279,False,False,False,True,False,False,7,1125,6,289,0,270,12,131.61396303901438,1,1
328.0,"(259.0, 1143.0]",5.793013608384144,151,1,1.0,1,-5480.4430882791,4,1.0,2.0,2.0,57,1,0,0,0,2.178540753587181,19.197591348430546,54.38129945624919,False,False,False,False,True,False,3,200,6,247,0,1150,14,134.07802874743325,1,1
80.0,"(15.999, 102.0]",4.382026634673881,137,1,4.0,1,-5478.626817720001,1,1.5,1.0,1.0,58,1,1,0,0,2.337117329760981,17.010223746228657,57.544793579062166,True,False,False,True,False,False,21,1125,0,153,0,5913,7,134.53798767967146,1,1
160.0,"(139.0, 180.0]",5.075173815233827,130,0,2.0,1,-5502.8222916918,2,1.0,1.0,3.0,39,1,0,0,0,15.524611603571053,34.251334651472405,56.80972691912464,False,False,False,True,False,False,2,1125,14,72,1,298,2,73.65913757700206,1,1
100.0,"(15.999, 102.0]",4.605170185988092,140,0,2.0,1,-5478.1823178827,4,1.0,2.0,2.0,24,1,0,0,0,5.695786606178582,16.13717774939256,61.71778864003302,False,False,False,False,False,False,14,30,0,189,0,430,0,20.960985626283367,1,1
230.0,"(180.0, 259.0]",5.438079308923196,135,1,2.0,1,-5495.3017246133995,4,1.5,2.0,3.0,71,1,0,0,0,10.004886259880646,29.19278739509146,54.40002868895789,False,False,False,False,False,False,3,28,29,311,0,369,7,98.39835728952772,1,1
60.0,"(15.999, 102.0]",4.0943445622221,137,0,1.0,1,-5471.2156246162995,1,1.0,1.0,1.0,25,1,0,1,0,17.141784877724493,23.424659713141523,43.79291037490451,True,False,False,False,False,False,1,1125,0,333,0,174,0,96.52566735112936,1,1
140.0,"(139.0, 180.0]",4.941642422609304,75,0,1.0,1,-5493.4189374195,5,1.0,2.0,4.0,43,1,1,0,0,19.127589068083463,35.19399504323624,38.09970396680523,False,False,False,False,True,False,2,1125,7,305,0,470,16,134.17659137577002,1,1
359.0,"(259.0, 1143.0]",5.883322388488279,137,0,2.0,1,-5507.7403679375,6,2.5,4.0,8.0,44,1,0,0,0,19.091974016059975,38.24927952545937,54.026389002127665,False,False,False,False,False,False,14,1125,14,132,0,298,1,97.57700205338809,1,1
